"fit_label","n_points","slope","mp_over_me","RMS_residual_nm","max_abs_residual_nm"
"Empirical response, beta gamma delta only",3,0.0002585001090406499,1934.2351608887468,0.00275526043505437,0.003638470516166864
"Empirical response with local H alpha",4,0.0002637627156378897,1895.6432063977988,0.003930994638291125,0.0050378855019247715
