"id","trueWL_nm","observed_mu_nm","sigma_nm","sigma_SE_nm","FWHM_nm","FWHM_SE_nm","rms_residual_V","used_for_calibration"
"Hg 365.119 diagnostic",365.119,365.6621928745429,0.06798020142878503,0.0016387601584238844,0.16008114098974455,0.003858985270054657,0.2298221199744856,"False"
"Hg 365.588",365.588,365.6604781120501,0.073428355545603,0.0029413986242269336,0.1729105635124454,0.00692646444075604,0.1919680034847285,"True"
"Hg 404.770",404.77,405.21903032015973,0.061379893399242796,0.0014944671943996424,0.1445386033383998,0.0035192013060134425,0.14731905811158294,"True"
"Hg 546.226",546.226,546.7083791504558,0.0699031620581144,0.0010576620981462858,0.16460936722549468,0.002490603909584365,0.027306657974144423,"True"
"Hg 546 repeat wide",546.226,546.6939555697601,0.0759202434471471,0.0014610626217469505,0.17877851109297155,0.003440539548735191,0.04588846276418062,"False"
"Hg 546 repeat 20um",546.226,546.6799135867046,0.0780506693588087,0.002868049923117143,0.18379528073420562,0.006753741449105722,0.06359219956627071,"False"
