"line","model","muH_nm","muI_nm","sigmaH_nm","sigmaI_nm","RSS","RMS_residual","AIC","BIC","figure_pdf"
"H epsilon","one_gaussian",397.2841085101804,"",0.039669047900594605,"",35.01504219387976,0.6787667046881091,-48.89662515590107,-37.24295845446942,""
"H epsilon","two_gaussian_shared_width",397.28463647448865,397.8440171093546,0.03861809633455991,0.03861809633455991,30.624298321882375,0.6347844466501826,-55.079408355306754,-38.764274973302435,"C:\Users\ansht\Downloads\ansh-exp25\ansh-exp25\PHASE1_real_wavelength_files\PHASE4_Hydrogen_only_two_gaussian_checks\fit_figures\H_epsilon_two_gaussian_shared_width.pdf"
"H epsilon","two_gaussian_independent_widths",397.28468807056726,397.7427888724399,0.04806341830747342,0.15944692059383977,21.5160016118279,0.5320763895966034,-79.9071679931384,-61.26130127084775,"C:\Users\ansht\Downloads\ansh-exp25\ansh-exp25\PHASE1_real_wavelength_files\PHASE4_Hydrogen_only_two_gaussian_checks\fit_figures\H_epsilon_two_gaussian_independent_widths.pdf"
"H zeta","one_gaussian",388.81708600254206,"",0.02402104795236584,"",16.193264104317866,0.6362637838255032,-26.17136377489991,-17.72696650433023,""
"H zeta","two_gaussian_shared_width",388.8179937181783,388.94914112022803,0.036772692961027705,0.036772692961027705,1.5794706721418972,0.1987127746360244,-115.2715872335086,-103.44943105471104,"C:\Users\ansht\Downloads\ansh-exp25\ansh-exp25\PHASE1_real_wavelength_files\PHASE4_Hydrogen_only_two_gaussian_checks\fit_figures\H_zeta_two_gaussian_shared_width.pdf"
"H zeta","two_gaussian_independent_widths",388.8142919478944,388.94634580421626,0.02656912137409595,0.050970440146876975,0.19970459395038287,0.07065843791621473,-195.99181954722383,-182.48078391431233,"C:\Users\ansht\Downloads\ansh-exp25\ansh-exp25\PHASE1_real_wavelength_files\PHASE4_Hydrogen_only_two_gaussian_checks\fit_figures\H_zeta_two_gaussian_independent_widths.pdf"
