# 
# Spectrum #00008	8:51:18 AM 5/15/2026
# Narrow scan: start 364.12nm, end 366.61nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
364.12               0.006825
364.1288             0.00675
364.137599           0.006932
364.146399           0.006708
364.155198           0.006887
364.163998           0.006818
364.172797           0.006565
364.181597           0.007234
364.190396           0.006935
364.199196           0.006913
364.207995           0.006841
364.216795           0.007409
364.225594           0.007175
364.234394           0.006724
364.243193           0.007143
364.251993           0.006835
364.260792           0.007328
364.269592           0.00711
364.278391           0.007179
364.287191           0.006702
364.29599            0.006997
364.304789           0.006942
364.313589           0.007075
364.322388           0.007308
364.331188           0.007179
364.339987           0.007373
364.348786           0.00701
364.357586           0.007656
364.366385           0.007302
364.375185           0.007364
364.383984           0.007519
364.392783           0.008006
364.401583           0.00774
364.410382           0.007724
364.419181           0.007951
364.427981           0.007279
364.43678            0.007432
364.445579           0.007727
364.454379           0.00751
364.463178           0.00774
364.471977           0.007445
364.480777           0.007146
364.489576           0.007639
364.498375           0.007318
364.507174           0.007461
364.515974           0.008071
364.524773           0.008038
364.533572           0.008045
364.542371           0.007883
364.551171           0.008009
364.55997            0.007769
364.568769           0.008129
364.577568           0.007996
364.586367           0.008353
364.595167           0.008629
364.603966           0.00858
364.612765           0.008305
364.621564           0.009145
364.630363           0.008762
364.639163           0.00882
364.647962           0.009041
364.656761           0.008898
364.66556            0.009129
364.674359           0.009229
364.683158           0.008752
364.691957           0.00919
364.700756           0.008824
364.709556           0.008934
364.718355           0.009119
364.727154           0.009138
364.735953           0.008668
364.744752           0.008723
364.753551           0.00896
364.76235            0.008928
364.771149           0.009148
364.779948           0.00894
364.788747           0.009859
364.797546           0.009304
364.806345           0.0098
364.815144           0.009301
364.823943           0.009966
364.832742           0.009677
364.841541           0.010238
364.85034            0.009989
364.859139           0.010242
364.867938           0.010754
364.876737           0.01043
364.885536           0.010313
364.894335           0.010767
364.903134           0.010842
364.911933           0.011059
364.920732           0.011014
364.929531           0.010427
364.93833            0.01115
364.947129           0.010459
364.955928           0.010462
364.964727           0.010845
364.973526           0.010884
364.982325           0.010579
364.991123           0.011076
364.999922           0.010842
365.008721           0.011507
365.01752            0.011445
365.026319           0.010826
365.035118           0.011439
365.043917           0.011312
365.052715           0.012104
365.061514           0.011767
365.070313           0.012081
365.079112           0.012487
365.087911           0.012292
365.096709           0.012513
365.105508           0.012847
365.114307           0.01322
365.123106           0.013292
365.131905           0.013876
365.140703           0.0136
365.149502           0.013827
365.158301           0.013697
365.1671             0.013555
365.175898           0.013817
365.184697           0.01457
365.193496           0.014025
365.202295           0.014317
365.211093           0.014207
365.219892           0.014349
365.228691           0.015161
365.237489           0.015492
365.246288           0.015339
365.255087           0.016536
365.263885           0.016793
365.272684           0.01691
365.281483           0.017494
365.290281           0.018386
365.29908            0.018866
365.307879           0.018587
365.316677           0.019453
365.325476           0.019431
365.334275           0.019969
365.343073           0.020112
365.351872           0.020725
365.36067            0.020901
365.369469           0.02128
365.378268           0.021984
365.387066           0.02324
365.395865           0.024502
365.404663           0.026303
365.413462           0.029866
365.42226            0.033854
365.431059           0.04131
365.439857           0.04206
365.448656           0.051992
365.457454           0.059234
365.466253           0.066506
365.475051           0.071217
365.48385            0.077392
365.492648           0.083343
365.501447           0.096539
365.510245           0.117218
365.519044           0.182402
365.527842           0.276753
365.536641           0.459633
365.545439           0.769348
365.554238           1.316189
365.563036           1.835882
365.571835           2.942134
365.580633           3.022715
365.589431           4.415294
365.59823            5.125142
365.607028           5.774732
365.615827           6.514024
365.624625           7.087495
365.633423           7.473952
365.642222           7.741401
365.65102            7.872087
365.659818           7.941979
365.668617           7.934302
365.677415           7.824999
365.686213           7.64058
365.695012           7.311134
365.70381            6.776982
365.712608           5.979629
365.721407           5.867163
365.730205           4.985673
365.739003           4.416829
365.747802           3.85011
365.7566             3.323727
365.765398           2.934843
365.774196           2.446576
365.782995           2.166343
365.791793           1.836865
365.800591           1.481036
365.809389           1.151992
365.818188           0.906565
365.826986           0.687811
365.835784           0.490192
365.844582           0.385027
365.853381           0.256586
365.862179           0.247955
365.870977           0.154928
365.879775           0.130651
365.888573           0.105475
365.897371           0.085036
365.90617            0.07758
365.914968           0.068556
365.923766           0.062492
365.932564           0.059666
365.941362           0.055895
365.95016            0.056804
365.958958           0.055302
365.967757           0.055769
365.976555           0.059299
365.985353           0.071353
365.994151           0.115498
366.002949           0.121238
366.011747           0.22616
366.020545           0.297169
366.029343           0.399222
366.038141           0.554039
366.046939           0.631394
366.055737           0.780046
366.064535           0.917961
366.073333           1.012678
366.082131           1.147011
366.090929           1.282496
366.099727           1.382668
366.108525           1.46135
366.117323           1.530317
366.126121           1.556531
366.134919           1.545457
366.143717           1.544844
366.152515           1.471408
366.161313           1.383813
366.170111           1.31738
366.178909           1.210274
366.187707           1.129395
366.196505           1.028218
366.205303           0.92507
366.214101           0.838568
366.222899           0.721819
366.231697           0.626095
366.240495           0.539178
366.249292           0.453069
366.25809            0.356395
366.266888           0.294028
366.275686           0.211922
366.284484           0.205235
366.293282           0.145402
366.30208            0.105728
366.310878           0.085361
366.319675           0.069007
366.328473           0.056554
366.337271           0.047378
366.346069           0.040424
366.354867           0.035074
366.363664           0.031926
366.372462           0.028886
366.38126            0.026112
366.390058           0.024908
366.398856           0.023227
366.407653           0.022964
366.416451           0.02203
366.425249           0.022124
366.434047           0.021696
366.442844           0.020907
366.451642           0.020998
366.46044            0.020171
366.469237           0.019989
366.478035           0.02032
366.486833           0.019337
366.495631           0.018996
366.504428           0.018396
366.513226           0.018444
366.522024           0.017805
366.530821           0.017581
366.539619           0.017546
366.548417           0.016828
366.557214           0.016261
366.566012           0.016975
366.57481            0.016682
366.583607           0.016446
366.592405           0.01664
366.601202           0.016786
366.61               0.016793
