# 
# Spectrum #00018	10:35:25 AM 5/15/2026
# Narrow scan: start 971.59nm, end 974.08nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
971.59               0.251551
971.619307           0.253948
971.648613           0.259929
971.677919           0.253741
971.707224           0.251891
971.73653            0.251619
971.765835           0.25316
971.79514            0.247748
971.824444           0.243448
971.853748           0.242176
971.883052           0.24523
971.912356           0.252248
971.941659           0.265039
971.970962           0.270909
972.000265           0.263874
972.029567           0.263761
972.058869           0.253929
972.088171           0.250314
972.117473           0.250759
972.146774           0.251226
972.176075           0.253961
972.205376           0.258475
972.234676           0.255853
972.263976           0.256483
972.293276           0.262836
972.322575           0.264238
972.351874           0.272343
972.381173           0.283713
972.410472           0.32545
972.43977            0.452144
972.469068           0.8666
972.498366           1.77623
972.527663           3.138526
972.55696            4.401247
972.586257           5.266299
972.615553           5.52057
972.64485            5.11483
972.674145           4.277755
972.703441           3.117211
972.732736           1.975133
972.762031           1.176308
972.791326           0.727779
972.820621           0.511205
972.849915           0.419843
972.879208           0.364046
972.908502           0.327835
972.937795           0.299252
972.967088           0.269393
972.996381           0.261944
973.025673           0.25815
973.054965           0.252203
973.084257           0.253488
973.113548           0.258352
973.14284            0.254578
973.17213            0.253283
973.201421           0.25537
973.230711           0.255694
973.260001           0.251009
973.289291           0.252216
973.31858            0.252511
973.347869           0.251901
973.377158           0.249059
973.406447           0.242683
973.435735           0.24838
973.465023           0.251174
973.49431            0.251216
973.523598           0.255201
973.552885           0.258822
973.582171           0.257871
973.611458           0.265607
973.640744           0.269952
973.67003            0.282846
973.699315           0.304891
973.7286             0.31544
973.757885           0.311958
973.78717            0.294076
973.816454           0.276542
973.845738           0.254153
973.875022           0.248737
973.904306           0.247404
973.933589           0.247965
973.962872           0.244029
973.992154           0.24316
974.021436           0.24557
974.050718           0.241051
974.08               0.246687
