# 
# Spectrum #00017	10:27:29 AM 5/15/2026
# Narrow scan: start 1312.15nm, end 1314.63nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
1312.15              0.029084
1312.177583          0.03071
1312.205166          0.031848
1312.232748          0.032556
1312.26033           0.033153
1312.287911          0.034269
1312.315491          0.035064
1312.34307           0.03655
1312.370649          0.039337
1312.398228          0.041369
1312.425806          0.044396
1312.453383          0.047147
1312.480959          0.049146
1312.508535          0.053205
1312.53611           0.062177
1312.563685          0.087671
1312.591259          0.160899
1312.618832          0.397207
1312.646405          0.966892
1312.673977          1.889349
1312.701549          3.220878
1312.729119          5.069738
1312.75669           7.290123
1312.784259          9.572922
1312.811828          10.305699
1312.839397          8.758459
1312.866964          5.696845
1312.894532          2.88907
1312.922098          1.301701
1312.949664          0.586188
1312.977229          0.286922
1313.004794          0.155331
1313.032358          0.099576
1313.059921          0.072424
1313.087484          0.057472
1313.115046          0.049523
1313.142608          0.045343
1313.170168          0.041544
1313.197729          0.038688
1313.225288          0.036557
1313.252847          0.034941
1313.280406          0.033698
1313.307963          0.032968
1313.335521          0.03202
1313.363077          0.031011
1313.390633          0.031002
1313.418188          0.030304
1313.445743          0.029532
1313.473297          0.029094
1313.50085           0.02897
1313.528403          0.028169
1313.555955          0.027689
1313.583507          0.027977
1313.611057          0.027702
1313.638608          0.027257
1313.666157          0.027893
1313.693706          0.027241
1313.721255          0.027277
1313.748802          0.026865
1313.77635           0.026342
1313.803896          0.026673
1313.831442          0.02628
1313.858987          0.025755
1313.886532          0.026323
1313.914076          0.025593
1313.941619          0.025797
1313.969162          0.025885
1313.996704          0.025852
1314.024245          0.025859
1314.051786          0.025249
1314.079327          0.025161
1314.106866          0.025469
1314.134405          0.025382
1314.161944          0.025151
1314.189481          0.025275
1314.217018          0.025047
1314.244555          0.025268
1314.272091          0.025122
1314.299626          0.025356
1314.327161          0.02533
1314.354695          0.025339
1314.382228          0.024739
1314.409761          0.024171
1314.437293          0.024116
1314.464824          0.023646
1314.492355          0.024119
1314.519885          0.023785
1314.547415          0.02447
1314.574944          0.02398
1314.602472          0.024168
1314.63              0.023863
