# 
# Spectrum #00009	9:36:34 AM 5/15/2026
# Narrow scan: start 364.59nm, end 367.08nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
364.59               0.00883
364.616492           0.008603
364.642984           0.009194
364.669477           0.009083
364.695969           0.008957
364.722461           0.00932
364.748953           0.008801
364.775445           0.008882
364.801936           0.009865
364.828428           0.010079
364.85492            0.010368
364.881412           0.010517
364.907903           0.010907
364.934395           0.01079
364.960886           0.010582
364.987378           0.011436
365.013869           0.011578
365.04036            0.011666
365.066851           0.012081
365.093343           0.012669
365.119834           0.013422
365.146325           0.013924
365.172816           0.014135
365.199306           0.014765
365.225797           0.015398
365.252288           0.016364
365.278779           0.017896
365.305269           0.019424
365.33176            0.020401
365.358251           0.021725
365.384741           0.024048
365.411231           0.030009
365.437722           0.043225
365.464212           0.069221
365.490702           0.094362
365.517192           0.20578
365.543682           0.746534
365.570172           3.140519
365.596662           5.033683
365.623152           7.136228
365.649642           7.95573
365.676132           7.926093
365.702622           6.973514
365.729111           5.268506
365.755601           3.261317
365.78209            2.217854
365.80858            1.212039
365.835069           0.529846
365.861559           0.235804
365.888048           0.111867
365.914537           0.069874
365.941026           0.05803
365.967515           0.056058
365.994004           0.11568
366.020493           0.30421
366.046982           0.628373
366.073471           1.006932
366.09996            1.391977
366.126448           1.603739
366.152937           1.503677
366.179426           1.228305
366.205914           0.902295
366.232403           0.609106
366.258891           0.392207
366.285379           0.204599
366.311868           0.082418
366.338356           0.049052
366.364844           0.031735
366.391332           0.024327
366.41782            0.02262
366.444308           0.021546
366.470796           0.020518
366.497284           0.019522
366.523771           0.017675
366.550259           0.017484
366.576747           0.016673
366.603234           0.01641
366.629722           0.016339
366.656209           0.015758
366.682697           0.014736
366.709184           0.015933
366.735671           0.016572
366.762159           0.017938
366.788646           0.021287
366.815133           0.031466
366.84162            0.101679
366.868107           0.225784
366.894594           0.538744
366.92108            0.76268
366.947567           1.052096
366.974054           1.178453
367.00054            1.11908
367.027027           0.920226
367.053514           0.689809
367.08               0.485137
