794.28	3.489281
794.303817	3.380688
794.327633	3.199476
794.351449	3.243075
794.375266	3.318743
794.399082	3.553225
794.422898	3.992642
794.446713	4.619811
794.470529	5.353018
794.494345	5.889119
794.51816	6.464469
794.541975	6.73369
794.56579	6.740861
794.589605	6.762474
794.61342	6.494834
794.637235	6.049267
794.661049	5.423536
794.684864	4.8103
794.708678	4.268407
794.732492	3.867865
794.756306	3.637786
794.78012	3.497749
794.803934	3.420398
794.827748	3.327507
794.851561	3.311893
794.875374	3.294138
794.899188	3.286393
794.923001	3.228892
794.946814	3.214674
794.970626	3.144983
794.994439	3.180156
795.018252	3.147151
795.042064	3.128153
795.065876	3.133627
795.089688	3.071032
795.1135	3.114544
795.137312	3.089738
795.161124	3.112344
795.184935	3.267761
795.208747	3.615057
795.232558	4.165575
795.256369	4.874014
795.28018	5.538014
795.303991	6.041655
795.327802	5.996874
795.351613	5.602543
795.375423	4.974358
795.399233	4.375711
795.423044	3.869257
795.446854	3.564393
795.470664	3.446748
795.494473	3.298178
795.518283	3.2854
795.542093	3.42971
795.565902	3.656363
795.589711	4.005154
795.61352	4.421115
795.637329	4.624308
795.661138	4.76894
795.684947	4.621225
795.708755	4.413529
795.732564	4.280598
795.756372	4.273729
795.78018	4.263771
795.803988	4.081587
795.827796	3.870435
795.851604	3.590549
795.875412	3.369127
795.899219	3.281415
795.923026	3.209992
795.946834	3.160749
795.970641	3.139026
795.994448	3.114181
796.018254	3.103022
796.042061	3.066282
796.065868	3.112649
796.089674	3.06352
796.11348	3.047342
796.137286	3.062498
796.161092	3.078699
796.184898	3.1275
796.208704	3.118688
796.23251	3.156599
796.256315	3.135463
796.28012	3.05426
796.303925	3.065448
796.32773	3.100322
796.351535	3.157566
796.37534	3.077999
796.399145	3.156908
796.422949	3.172246
796.446754	3.103042
796.470558	3.100822
796.494362	3.141781
796.518166	3.284621
796.54197	3.17341
796.565773	3.162862
796.589577	3.104683
796.61338	3.054062
796.637183	3.08736
796.660986	3.118019
796.684789	3.09664
796.708592	3.109615
796.732395	3.088129
796.756198	3.039019
796.78	3.121251
