"line","muD_obs_nm","muH_obs_nm","delta_obs_nm","lambdaH_corr_nm","delta_corr_nm","sigma_nm"
"H alpha",656.2222597643097,656.400622607586,0.17836284327631802,655.6911122113884,0.17805500053918877,0.03276149373672569
"H beta",486.1944242673415,486.32660297132713,0.13217870398563036,485.91062933848707,0.13195057208730532,0.03987022963954019
"H gamma",434.16996730616745,434.28801476652586,0.11804746035841163,433.9618563728623,0.117843718073118,0.03163336323199127
"H delta",410.3027503036089,410.4143147850403,0.11156448143140096,410.12936085421546,0.11137192834860343,0.04189470718957919
