"category","file","short_plot_file","peak_index","peak_nm","nearest_sample_nm","signal_V","baseline_V","height_over_baseline_V","matched_candidate","matched_species","candidate_nm","delta_nm","confidence","note"
"Actual_HD_mixed_lamp","17_Actual_HD_mixed_lamp_486.320nm_THIS_IS_2th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_011_Actual_HD_mixed_lamp.pdf",2,485.90913705928085,485.90417302959736,0.143672,0.04327,0.10040199999999999,"D beta","D",486.00061083877995,-0.09147377949909696,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","18_Actual_HD_mixed_lamp_388.945nm_THIS_IS_6th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_012_Actual_HD_mixed_lamp.pdf",1,388.5846790344845,388.58920176718345,4.627105,0.053351,4.573754,"O I 777.539 first order alias","O I",388.52190362025243,0.06277541423207822,"possible","First order oxygen line after second order conversion"
"Actual_HD_mixed_lamp","18_Actual_HD_mixed_lamp_388.945nm_THIS_IS_6th_line_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wave_REAL_FOR_CURVEFIT.dat","identity_012_Actual_HD_mixed_lamp.pdf",2,388.7081974914958,388.70918931838355,4.281685,0.053351,4.228334,"D zeta","D",388.8000887799564,-0.09189128846060157,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",1,396.67872263795743,396.67872263795743,2.374199,2.31664,0.057558999999999916,"D epsilon","D",396.89888262527234,-0.22015998731490072,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",2,396.9261394287779,396.92933085655716,3.328351,2.31664,1.011711,"D epsilon","D",396.89888262527234,0.027256803505565586,"strong","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",3,397.16797775531427,397.16797775531427,2.451937,2.31664,0.135297,"H epsilon","H",397.007,0.1609777553142635,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",4,397.2157037409339,397.2157037409339,2.452985,2.31664,0.13634499999999994,"H epsilon","H",397.007,0.2087037409339132,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",5,397.41181325910867,397.4065972015347,2.858397,2.31664,0.541757,"H epsilon","H",397.007,0.40481325910866417,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","19_Actual_HD_mixed_lamp_397.413nm_THIS_ONE_IS_ACTUALLY_JUST_HD_5th_layer_100_nm_width_of__REAL_FOR_CURVEFIT.dat","identity_013_Actual_HD_mixed_lamp.pdf",6,397.5884122368887,397.5855438172668,2.699975,2.31664,0.38333499999999976,"H epsilon","H",397.007,0.5814122368886956,"unmatched","Balmer hydrogen"
"Actual_HD_mixed_lamp","20_Actual_HD_mixed_lamp_434.373nm_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wavelength_is_868.34__REAL_FOR_CURVEFIT.dat","identity_014_Actual_HD_mixed_lamp.pdf",1,433.8445302969057,433.8391502553183,0.630456,0.231709,0.398747,"D gamma","D",433.92879547930283,-0.08426518239713232,"unmatched","Approx deuterium Balmer"
"Actual_HD_mixed_lamp","20_Actual_HD_mixed_lamp_434.373nm_THIS_ONE_IS_ACTUALLY_JUST_HD_data_wavelength_is_868.34__REAL_FOR_CURVEFIT.dat","identity_014_Actual_HD_mixed_lamp.pdf",2,433.9551025439943,433.95423877654616,0.42933,0.231709,0.197621,"D gamma","D",433.92879547930283,0.02630706469147981,"strong","Approx deuterium Balmer"
