"excluded_line","slope","slope_SE","mp_over_me","mp_over_me_SE"
"H delta",-0.004225643532159974,0.019229653086616606,-118.3251725316311,538.4628404834367
"H gamma",0.0029968759572072587,0.008150464364071816,166.84040552213648,453.74810272850436
"H beta",-0.012157415690454997,0.007437926463367772,-41.1271616214093,25.16166359494081
"H alpha",-0.04374331588555232,0.0273180635015679,-11.430317749760292,7.138328217915977
