793.57	2.475484
793.593912	2.39797
793.617824	2.367356
793.641735	2.32409
793.665647	2.290562
793.689558	2.286084
793.713469	2.284063
793.73738	2.30946
793.761291	2.361148
793.785202	2.381425
793.809112	2.361285
793.833023	2.38527
793.856933	2.402172
793.880843	2.374199
793.904753	2.406955
793.928663	2.373125
793.952573	2.352647
793.976483	2.336933
794.000392	2.31664
794.024302	2.289663
794.048211	2.269163
794.07212	2.300459
794.096029	2.285659
794.119938	2.301893
794.143847	2.317617
794.167755	2.313931
794.191664	2.385763
794.215572	2.482791
794.23948	2.576386
794.263388	2.742903
794.287296	2.940038
794.311204	3.069767
794.335111	3.187532
794.359019	3.306027
794.382926	3.328351
794.406833	3.254679
794.430741	3.159049
794.454647	3.096753
794.478554	3.004411
794.502461	2.924765
794.526368	2.923432
794.550274	2.86904
794.57418	2.86734
794.598086	2.847514
794.621992	2.798418
794.645898	2.747618
794.669804	2.654643
794.693709	2.585682
794.717615	2.501221
794.74152	2.48773
794.765425	2.479861
794.78933	2.481895
794.813235	2.477742
794.83714	2.483748
794.861045	2.451937
794.884949	2.450983
794.908854	2.494722
794.932758	2.475766
794.956662	2.452985
794.980566	2.458394
795.00447	2.463251
795.028373	2.444386
795.052277	2.413324
795.07618	2.399294
795.100083	2.38257
795.123987	2.358416
795.14789	2.364822
795.171792	2.40027
795.195695	2.436417
795.219598	2.497496
795.2435	2.588077
795.267403	2.702613
795.291305	2.794258
795.315207	2.834074
795.339109	2.858397
795.36301	2.856768
795.386912	2.789592
795.410814	2.73339
795.434715	2.649766
795.458616	2.570763
795.482517	2.518607
795.506418	2.47367
795.530319	2.468371
795.55422	2.491448
795.57812	2.521021
795.602021	2.575711
795.625921	2.598729
795.649821	2.637562
795.673721	2.665162
795.697621	2.699975
795.721521	2.687772
795.74542	2.644814
795.76932	2.595381
795.793219	2.591996
795.817118	2.588073
795.841017	2.54828
795.864916	2.496172
795.888815	2.456356
795.912713	2.43569
795.936612	2.433098
795.96051	2.440801
795.984408	2.430859
796.008307	2.403437
796.032205	2.384215
796.056102	2.383953
796.08	2.324165
