"pipeline","short","n_points","zero_slope_unweighted","zero_slope_SE_unweighted","mp_over_me_unweighted","mp_over_me_SE_unweighted","RMS_residual_nm","max_abs_residual_nm","free_intercept_q_nm","free_intercept_q_SE_nm","free_slope","mp_over_me_free_intercept","mp_over_me_free_intercept_SE","weighted_available","zero_slope_weighted","weighted_scale_factor","mp_over_me_weighted","mp_over_me_SE_weighted"
"Gaussian with local H alpha","Gaussian","4","0.0002680882082153975","3.3767681878215706e-06","1865.0577857503947","23.491774745686694","0.002957179414585483","0.004792486484321026","-0.008058095226419969","0.00943104228335364","0.0002837359631370672","1762.2017120137145","115.84708919267997","True","0.0002706277221786579","5.717501189106722","1847.5564734270622","21.619861219386124"
"Empirical response without H alpha","Empirical no alpha","3","0.0002585001090406499","4.383465378619605e-06","1934.2351608887468","32.799416964776796","0.00275526043505437","0.003638470516166864","-0.03369571030750643","0.019040560934470464","0.00033412090695676374","1496.4642726314087","191.87233571984592","False","","","",""
"Empirical response with local H alpha","Empirical local alpha","4","0.0002637628416305855","4.488838686614889e-06","1895.642300898008","32.260922136152494","0.003931054719501373","0.005037940176959091","-0.019125107858057537","0.005626384617437545","0.00030090136861402283","1661.6740638403949","61.45208633898699","False","","","",""
