"label","status","muD_obs_nm","muH_obs_nm","delta_obs_nm","scale_factor","lambdaH_corr_nm","delta_corr_nm","RMS_residual","max_abs_residual","useClean"
"H beta","fit_complete",486.19531018022815,486.32477991659084,0.12946973636266565,0.6097286267473543,485.9088094302254,0.12924627996735058,0.0028679796080522016,0.007156082401952313,true
"H gamma","fit_complete",434.1708795941626,434.2804917087057,0.10961211454311229,0.46249373587849907,433.95434629935363,0.1094229311193502,0.008974451871097413,0.0237904643668308,true
"H delta","fit_complete",410.3057290567867,410.41053127572036,0.10480221893365806,0.5846568372474837,410.125583874988,0.10462133707877937,0.03404742359150081,0.07360546826612024,true
"H alpha diagnostic","fit_complete",656.2026412537112,656.4226412537113,0.21999999999999997,0.8915353371555667,655.7130928547538,0.21962029422202878,0.592463322269758,1.8073956597759269,false
