"excluded_line","slope","slope_SE_scaled","mp_over_me","mp_over_me_SE"
"H delta",0.00027088315005261755,3.904939229640721e-6,1845.8143295471784,26.608494417912993
"H gamma",0.0002724501888795162,1.7388506272586967e-6,1835.1978468295783,11.712727894325727
"H beta",0.0002665241737387785,3.988520007556207e-6,1876.0024390509966,28.074276180714282
"H alpha",0.00027075465182942963,4.638299718920618e-6,1846.690339839445,31.635664341629948
